Detik;X_m;Y_m;Psi_deg;v_ms;r_degs;Rudder_deg;Exitflag;Waktu_Komputasi_ms;Waktu_Komputasi_us
1;0.0000;0.0000;501.944;0.0000;0.0000;-50.000;10.000;62.728;62.728.000
2;98.588;118.306;501.944;-0.0020;-0.1161;-100.000;10.000;37.383;37.383.000
3;197.193;236.599;500.783;-0.0028;-0.2871;-150.000;10.000;32.561;32.561.000
4;296.042;354.687;497.913;-0.0008;-0.4850;-200.000;10.000;25.058;25.058.000
5;395.466;472.292;493.063;0.0043;-0.6971;-250.000;10.000;23.731;23.731.000
6;495.844;589.084;486.092;0.0128;-0.9174;-300.000;10.000;16.833;16.833.000
7;597.571;704.702;476.918;0.0244;-11.430;-350.000;10.000;0.8947;8.947.000
8;701.051;818.754;465.488;0.0390;-13.727;-350.000;10.000;0.9074;9.074.000
9;806.679;930.820;451.761;0.0586;-14.895;-350.000;10.000;0.8508;8.508.000
10;914.823;1.040.462;436.865;0.0795;-15.543;-350.000;10.000;13.045;13.045.000
11;1.025.635;1.147.407;421.322;0.1003;-15.947;-350.000;10.000;0.7343;7.343.000
12;1.139.169;1.251.461;405.375;0.1202;-16.232;-350.000;10.000;0.8397;8.397.000
13;1.255.424;1.352.466;389.144;0.1390;-16.457;-350.000;10.000;0.9285;9.285.000
14;1.374.376;1.450.284;372.687;0.1567;-16.648;-350.000;10.000;0.7486;7.486.000
15;1.495.981;1.544.787;356.039;0.1733;-16.817;-350.000;10.000;0.7392;7.392.000
16;1.620.184;1.635.851;339.222;0.1887;-16.972;-350.000;10.000;0.8952;8.952.000
17;1.746.919;1.723.359;322.250;0.2032;-17.114;-350.000;10.000;0.8595;8.595.000
18;1.876.113;1.807.198;305.136;0.2167;-17.246;-350.000;10.000;12.984;12.984.000
19;2.007.686;1.887.257;287.890;0.2293;-17.369;-350.000;10.000;0.9249;9.249.000
20;2.141.547;1.963.431;270.522;0.2410;-17.483;-350.000;10.000;11.870;11.870.000
21;2.277.602;2.035.616;253.039;0.2520;-17.590;-350.000;10.000;10.200;10.200.000
22;2.415.749;2.103.717;235.449;0.2622;-17.689;-350.000;10.000;11.596;11.596.000
23;2.555.881;2.167.638;217.759;0.2717;-17.782;-350.000;10.000;11.915;11.915.000
24;2.697.884;2.227.292;199.977;0.2806;-17.869;-350.000;10.000;14.643;14.643.000
25;2.841.639;2.282.594;182.108;0.2889;-17.950;-350.000;10.000;12.671;12.671.000
26;2.987.023;2.333.466;164.159;0.2967;-18.025;-350.000;10.000;11.569;11.569.000
27;3.133.907;2.379.833;146.133;0.3039;-18.095;-350.000;10.000;16.608;16.608.000
28;3.282.158;2.421.628;128.038;0.3107;-18.161;-350.000;10.000;17.982;17.982.000
29;3.431.640;2.458.785;109.877;0.3170;-18.222;-350.000;10.000;27.063;27.063.000
30;3.582.213;2.491.249;91.654;0.3228;-18.280;-350.000;10.000;21.731;21.731.000
31;3.733.733;2.518.966;73.375;0.3283;-18.333;-350.000;10.000;20.786;20.786.000
32;3.886.052;2.541.890;55.042;0.3334;-18.383;-350.000;10.000;31.583;31.583.000
33;4.039.022;2.559.981;36.659;0.3382;-18.429;-350.000;10.000;34.983;34.983.000
34;4.192.491;2.573.203;18.230;0.3427;-18.473;-350.000;10.000;30.326;30.326.000
35;4.346.304;2.581.527;-0.0243;0.3468;-18.513;-350.000;10.000;42.953;42.953.000
36;4.500.306;2.584.930;-18.755;0.3507;-18.551;-350.000;10.000;39.706;39.706.000
37;4.654.338;2.583.394;-37.306;0.3543;-18.586;-350.000;10.000;99.412;99.412.000
38;4.808.242;2.576.910;-55.892;0.3577;-18.619;-350.000;10.000;39.012;39.012.000
39;4.961.858;2.565.471;-74.511;0.3608;-18.649;-350.000;10.000;38.750;38.750.000
