timestamp,latitude,longitude,speedMps,Calc_deg_servo_1,Calc_deg_servo_2,roll,pitch,yaw,zigzag_yaw,rpm_prop_1,rpm_prop_2,battery_1,battery_2,mode_auto,x_enu_flat,y_enu_flat,z_enu_flat,X_ecef,Y_ecef,Z_ecef,x_enu_ecef,y_enu_ecef,z_enu_ecef
3576.414,-7.286456,112.795825,0.23,-0.13,-1.2,3.07,0.13,195.89,0,0,0,12.13,12.01,0,0,0,0,-2451374.75294739,5832779.80296257,-803567.884272695,-0,0,0
3576.514,-7.286456,112.795826,0.23,0.04,-1.2,2.96,0.14,195.39,0,120,60,12.06,12.03,0,0.11029696789357,0,0,-2451374.8547486,5832779.76017801,-803567.884272695,0.110426470776128,-9.71711947017617e-11,-7.59965160246345e-10
3576.614,-7.286456,112.795826,0.2,0.04,-2.63,2.95,0.24,194.89,0,360,300,12.12,12.02,0,0.11029696789357,0,0,-2451374.8547486,5832779.76017801,-803567.884272695,0.110426470776128,-9.71711947017617e-11,-7.59965160246345e-10
3576.714,-7.286456,112.795826,0.13,0.04,-1.86,3.05,0.4,194.37,0,660,600,12.24,12.02,0,0.11029696789357,0,0,-2451374.8547486,5832779.76017801,-803567.884272695,0.110426470776128,-9.71711947017617e-11,-7.59965160246345e-10
3576.814,-7.286456,112.795826,0.12,-0.13,-1.62,3.25,0.52,193.84,0,960,900,12.13,12,0,0.11029696789357,0,0,-2451374.8547486,5832779.76017801,-803567.884272695,0.110426470776128,-9.71711947017617e-11,-7.59965160246345e-10
3576.914,-7.286456,112.795826,0.1,0.04,-0.67,3.51,0.63,193.3,0,1320,1259,12.02,12,0,0.11029696789357,0,0,-2451374.8547486,5832779.76017801,-803567.884272695,0.110426470776128,-9.71711947017617e-11,-7.59965160246345e-10
3577.014,-7.286456,112.795826,0.15,0.57,-1.56,3.7,0.74,192.75,0,1679,1620,12.07,11.99,0,0.11029696789357,0,0,-2451374.8547486,5832779.76017801,-803567.884272695,0.110426470776128,-9.71711947017617e-11,-7.59965160246345e-10
3577.114,-7.286456,112.795827,0.3,0.81,-1.2,3.77,0.84,192.21,0,2040,1979,12.31,12.07,0,0.220593934219727,0,0,-2451374.95654981,5832779.71739344,-803567.884272695,0.220852941844647,-4.35012238036991e-10,-3.4021826050834e-09
3577.214,-7.286456,112.795827,0.28,-0.19,-1.62,3.7,0.93,191.66,0,2400,2400,12.15,12.02,0,0.220593934219727,0,0,-2451374.95654981,5832779.71739344,-803567.884272695,0.220852941844647,-4.35012238036991e-10,-3.4021826050834e-09
3577.314,-7.286456,112.795827,0.28,-0.13,-2.33,3.56,1.03,191.12,0,2759,2759,12.32,12.06,0,0.220593934219727,0,0,-2451374.95654981,5832779.71739344,-803567.884272695,0.220852941844647,-4.35012238036991e-10,-3.4021826050834e-09
3577.414,-7.286455,112.795827,0.39,0.45,-1.97,3.43,1.17,190.59,0,3180,3180,12.44,11.99,0,0.220593934219727,0.111194926660101,0,-2451374.96198432,5832779.73032427,-803567.774573648,0.220852942677065,0.110592138602113,-5.10775123065133e-09
3577.514,-7.286455,112.795828,0.29,0.57,-0.25,3.4,1.32,190.05,0,3480,3480,12.3,12.05,0,0.330890900545883,0.111194926660101,0,-2451375.06378553,5832779.68753971,-803567.774573648,0.331279411959977,0.110592138040965,-9.49642712556875e-09
3577.614,-7.286455,112.795828,0.28,-0.31,-1.2,3.52,1.46,189.51,0,3600,3659,12.43,12.04,0,0.330890900545883,0.111194926660101,0,-2451375.06378553,5832779.68753971,-803567.774573648,0.331279411959977,0.110592138040965,-9.49642712556875e-09
