timestamp;latitude;longitude;speedMps;Calc_deg_servo_1;Calc_deg_servo_2;roll;pitch;yaw;zigzag_yaw;rpm_prop_1;rpm_prop_2;battery_1;battery_2;mode_auto;x_enu_flat;y_enu_flat;z_enu_flat;X_ecef;Y_ecef;Z_ecef;x_enu_ecef;y_enu_ecef;z_enu_ecef,
2.011.031;-7.287.183;112.796.097;0.73;35.8;35.85;6.48;0.44;306.59;0;2220;2159;12.01;10.83;1;-106.987.883.778.935;0.111194926660101;0;-245.139.849.171.813;583.275.876.433.373;-803.647.635.416.313;-107.113.503.866.522;0.110590992456267;-8,
2.011.131;-7.287.183;112.796.096;0.68;35.5;35.62;6.42;0.45;304.84;0;2159;2159;11.97;10.86;1;-108.090.851.650.198;0.111194926660101;0;-245.139.838.991.729;58.327.588.071.187;-803.647.635.416.313;-1.082.177.667.986;0.11059096857833;-9,
2.011.231;-7.287.183;112.796.096;0.7;35.68;35.62;6.31;0.47;303.08;0;2220;2220;11.99;10.89;1;-108.090.851.650.198;0.111194926660101;0;-245.139.838.991.729;58.327.588.071.187;-803.647.635.416.313;-1.082.177.667.986;0.11059096857833;-9,
2.011.331;-7.287.182;112.796.095;0.57;35.5;35.5;6.22;0.49;301.34;0;2220;2159;11.93;10.89;1;-109.193.819.537.134;0.222389853320203;0;-245.139.829.355.155;583.275.886.283.576;-80.364.752.571.744;-109.322.029.968.555;0.221183087111978;-9,
2.011.431;-7.287.182;112.796.095;0.77;35.5;35.32;6.21;0.52;299.6;0;2159;2220;11.85;10.89;1;-109.193.819.537.134;0.222389853320203;0;-245.139.829.355.155;583.275.886.283.576;-80.364.752.571.744;-109.322.029.968.555;0.221183087111978;-9,
2.011.531;-7.287.181;112.796.094;0.54;35.5;35.85;6.26;0.53;297.88;0;2220;2220;11.97;10.89;1;-110.296.787.408.397;0.333584779881543;0;-245.139.819.718.582;583.275.891.855.282;-803.647.416.018.567;-11.042.629.314.778;0.331775205468065;-9,
2.011.631;-7.287.181;112.796.094;0.7;35.68;35.62;6.33;0.53;296.15;0;2220;2159;11.99;10.95;1;-110.296.787.408.397;0.333584779881543;0;-245.139.819.718.582;583.275.891.855.282;-803.647.416.018.567;-11.042.629.314.778;0.331775205468065;-9,
2.011.731;-728.718;112.796.093;0.66;35.26;35.85;6.39;0.53;294.45;0;2220;2220;11.85;10.86;1;-11.139.975.527.966;0.444779706541644;0;-245.139.810.082.008;583.275.897.426.988;-803.647.306.319.694;-111.530.556.317.549;0.442367323464812;-9,
2.011.831;-728.718;112.796.093;0.59;35.32;35.62;6.41;0.53;292.75;0;2220;2220;11.94;10.83;1;-11.139.975.527.966;0.444779706541644;0;-245.139.810.082.008;583.275.897.426.988;-803.647.306.319.694;-111.530.556.317.549;0.442367323464812;-9,
2.011.931;-728.718;112.796.093;0.65;35.56;36.86;6.37;0.56;291.06;0;2220;2220;11.96;10.9;1;-11.139.975.527.966;0.444779706541644;0;-245.139.810.082.008;583.275.897.426.988;-803.647.306.319.694;-111.530.556.317.549;0.442367323464812;-9,
2.012.031;-7.287.179;112.796.092;0.61;35.5;35.62;6.3;0.57;289.36;0;2220;2220;12;10.86;1;-112.502.723.150.922;0.555974633201746;0;-245.139.800.445.434;583.275.902.998.693;-803.647.196.620.821;-112.634.819.510.835;0.552959441182713;-9,
2.012.131;-7.287.179;112.796.092;0.65;35.62;35.38;6.25;0.57;287.68;0;2220;2220;11.97;10.9;1;-112.502.723.150.922;0.555974633201746;0;-245.139.800.445.434;583.275.902.998.693;-803.647.196.620.821;-112.634.819.510.835;0.552959441182713;-9,
2.012.231;-7.287.178;112.796.092;0.66;35.32;35.62;6.22;0.56;286.01;0;2220;2220;11.97;10.89;1;-112.502.723.150.922;0.667169559861847;0;-245.139.800.988.945;583.275.904.291.901;-803.647.086.921.948;-112.634.819.756.427;0.663551583605316;-9,
2.012.331;-7.287.178;112.796.092;0.65;36.33;35.38;6.24;0.56;284.35;0;2220;2220;11.92;10.86;1;-112.502.723.150.922;0.667169559861847;0;-245.139.800.988.945;583.275.904.291.901;-803.647.086.921.948;-112.634.819.756.427;0.663551583605316;-9,
2.012.431;-7.287.177;112.796.091;0.63;35.44;35.14;6.28;0.57;282.7;0;2279;2220;11.97;10.85;1;-113.605.691.022.185;0.778364486521948;0;-245.139.791.352.371;583.275.909.863.606;-803.646.977.223.074;-113.739.082.937.333;0.774143701185083;-1,
2.012.531;-7.287.177;112.796.091;0.6;35.5;35.62;6.36;0.59;281.06;0;2220;2220;11.83;10.85;1;-113.605.691.022.185;0.778364486521948;0;-245.139.791.352.371;583.275.909.863.606;-803.646.977.223.074;-113.739.082.937.333;0.774143701185083;-1,
2.012.631;-7.287.176;112.796.091;0.62;35.26;35.32;6.41;0.6;279.42;0;2220;2220;11.88;10.83;1;-113.605.691.022.185;0.88955941318205;0;-245.139.791.895.881;583.275.911.156.813;-8.036.468.675.242;-113.739.083.189.955;0.884735843635017;-1,
2.012.731;-7.287.176;11.279.609;0.61;35.56;35.85;6.41;0.59;277.79;0;2220;2220;11.93;10.86;1;-114.708.658.893.448;0.88955941318205;0;-245.139.781.715.796;58.327.591.543.531;-8.036.468.675.242;-114.843.346.137.463;0.884735818393416;-1,
2.012.831;-7.287.175;11.279.609;0.67;35.62;35.5;6.36;0.58;276.16;0;2220;2220;11.97;10.89;1;-114.708.658.893.448;100.075.433.974.339;0;-245.139.782.259.307;583.275.916.728.518;-803.646.757.825.326;-114.843.346.394.379;0.99532796093594;-1,
2.012.931;-7.287.175;11.279.609;0.62;35.32;36.21;6.3;0.58;274.54;0;2220;2159;11.83;10.83;1;-114.708.658.893.448;100.075.433.974.339;0;-245.139.782.259.307;583.275.916.728.518;-803.646.757.825.326;-114.843.346.394.379;0.99532796093594;-1,
2.013.031;-7.287.174;11.279.609;0.73;34.96;35.5;6.24;0.59;272.93;0;2220;2220;11.83;10.89;1;-114.708.658.893.448;111.194.926.640.349;0;-245.139.782.802.817;583.275.918.021.725;-803.646.648.126.452;-114.843.346.649.054;110.592.010.333.693;-1,
2.013.131;-7.287.173;112.796.089;0.64;35.62;35.62;6.2;0.61;271.34;0;2220;2220;11.88;10.83;1;-115.811.626.780.384;122.314.419.306.359;0;-245.139.773.166.243;583.275.923.593.429;-803.646.538.427.577;-115.947.609.858.269;12.165.122.202.927;-1,
2.013.231;-7.287.173;112.796.089;0.58;35.8;35.62;6.2;0.63;269.76;0;2220;2159;11.97;10.85;1;-115.811.626.780.384;122.314.419.306.359;0;-245.139.773.166.243;583.275.923.593.429;-803.646.538.427.577;-115.947.609.858.269;12.165.122.202.927;-1,
2.013.331;-7.287.172;112.796.089;0.68;36.03;34.9;6.23;0.64;268.2;0;2220;2220;11.88;10.85;1;-115.811.626.780.384;133.433.911.972.369;0;-245.139.773.709.753;583.275.924.886.636;-803.646.428.728.702;-115.947.610.111.389;132.710.436.253.585;-1,
